Category	category	Item #	SPECIES	SEEDS/OZ	SEEDS/PKT	GERM CODE	packet	1/8 oz	1/4 oz	1/2 oz	ounce	pound	Dormant Bare Roots	Potted 3-Pack	Potted Tray of 32	Potted Tray of 36	Potted Tray of 38	Potted Tray of 50	SPECIES	SUN	SOIL	HT	BLOOM TIME	BLOOM COLOR
Grass/Sedge/Rush	G	CAR84G	Carex buxbaumii (Buxbaum's Sedge)	"17,000"	100	C(60)	$3.50	$17.50	$30.00									$189.00	Carex buxbaumii (Buxbaum's Sedge)	Full	Wet	3ft	May June	
Grass/Sedge/Rush	G	CAR67G	Carex canescens (Gray Bog Sedge)	"105,000"	"1,000"	"C(60),D"	$3.50	$4.50	$6.00	$9.75	$15.00								Carex canescens (Gray Bog Sedge)	Full to Shade	Wet to Medium-Wet	3ft	June July	
Grass/Sedge/Rush	G	CAR53G	Carex cephalophora (Short-headed Bracted Sedge)	"32,000"	600	C(60)	$3.50	$11.25	$17.50	$30.00	$50.00								Carex cephalophora (Short-headed Bracted Sedge)	Full to Shade	Medium-Wet to Medium-Dry	16in	May June	
Grass/Sedge/Rush	G	CAR06G	Carex comosa (Bristly Sedge)	"37,000"	750	C(60)	$3.50	$5.00	$8.00	$13.00	$20.00							$169.00	Carex comosa (Bristly Sedge)	Full	Wet to Medium-Wet	2ft	June	
Grass/Sedge/Rush	G	CAR65G	Carex crawfordii (Early Fen Sedge)	"55,000"	150	C(60)	$3.50	$7.50											Carex crawfordii (Early Fen Sedge)	Full	Wet to Medium	3ft	May June	
Grass/Sedge/Rush	G	CAR08G	Carex crinita (Fringed Sedge)	"25,000"	500	C(60)	$3.50	$5.00	$8.00	$13.00	$20.00							$169.00	Carex crinita (Fringed Sedge)	Full to Shade	Wet to Medium-Wet	3ft	June July	
Grass/Sedge/Rush	G	CAR07G	Carex cristatella (Crested Oval Sedge)	"95,000"	500	C(60)	$3.50	$7.50	$12.00	$19.50								$169.00	Carex cristatella (Crested Oval Sedge)	Full to Shade	Wet to Medium	3ft	June July August	
Grass/Sedge/Rush	G	CAR11G	Carex crus-corvi (Crowfoot Fox Sedge)	"18,000"	200	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00	$8.00						Carex crus-corvi (Crowfoot Fox Sedge)	Full to Shade	Medium-Wet to Medium	3ft	May June July August	
Grass/Sedge/Rush	G	CAR13G	Carex davisii (Awned Graceful Sedge)	"11,000"	100	C(60)	$3.50	$10.00	$15.00	$25.00								$169.00	Carex davisii (Awned Graceful Sedge)	Partial to Shade	Medium-Wet to Medium	2ft	May June July	
Grass/Sedge/Rush	G	CAR62G	Carex diandra (Bog Panicled Sedge)	"48,000"	200	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00								Carex diandra (Bog Panicled Sedge)	Full to Partial	Wet to Medium-Wet	3ft	June	
Grass/Sedge/Rush	G	CAR38G	Carex eburnea (Ivory Sedge)	"90,000"	50	"C(60),M"	$3.50								$129.00				Carex eburnea (Ivory Sedge)	Full to Shade	Dry	6in	May June	
Grass/Sedge/Rush	G	CAR78G	Carex echinata (Large-fruited Star Sedge)	"39,000"	150	C(60)	$3.50	$7.50	$12.00	$19.50	$30.00								Carex echinata (Large-fruited Star Sedge)	Full	Wet	3ft	May June July	
Grass/Sedge/Rush	G	CAR42G	Carex frankii (Bristly Cattail Sedge)	"21,000"	750	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00						$169.00	Carex frankii (Bristly Cattail Sedge)	Full to Shade	Wet to Medium-Wet	2ft	June July August	
Grass/Sedge/Rush	G	CAR73G	Carex gracilescens (Slender Wood Sedge)	"25,000"	100	"C(60),?"	$3.50												Carex gracilescens (Slender Wood Sedge)	Partial to Shade	Medium-Wet to Medium-Dry	2ft	April May June	
Grass/Sedge/Rush	G	CAR50G	Carex gracillima (Purple-sheathed Graceful Sedge)	"27,000"	500	"C(60),D"	$3.50	$15.00	$25.00									$169.00	Carex gracillima (Purple-sheathed Graceful Sedge)	Partial to Shade	Wet to Medium-Wet	3ft	May June	
Grass/Sedge/Rush	G	CAR31G	Carex granularis (Pale Sedge)	"26,000"	150	C(60)	$3.50	$5.00	$8.00	$13.00	$20.00								Carex granularis (Pale Sedge)	Full to Shade	Wet to Medium	2ft	May June	
Grass/Sedge/Rush	G	CAR15G	Carex gravida (Long-awned Bracted Sedge)	"27,000"	150	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00							$169.00	Carex gravida (Long-awned Bracted Sedge)	Full to Partial	Medium to Dry	2ft	May June	
Grass/Sedge/Rush	G	CAR09G	Carex grayi (Common Bur Sedge)	"1,200"	45	C(60)	$3.50	$4.50	$6.00	$9.75	$15.00		$9.00					$189.00	Carex grayi (Common Bur Sedge)	Full to Shade	Wet to Medium	3ft	May June July August	
Grass/Sedge/Rush	G	CAR43G	Carex grisea (Wood Gray Sedge)	"9,000"	50	C(60)	$3.50	$7.50	$12.00	$19.50	$30.00	$450.00							Carex grisea (Wood Gray Sedge)	Full to Shade	Wet to Medium	2ft	May June	
Grass/Sedge/Rush	G	CAR83G	Carex haydenii (Hayden's Sedge)	"41,000"	150	C(60)	$3.50												Carex haydenii (Hayden's Sedge)	Full to Partial	Wet to Medium-Wet	4ft	June July August	
Grass/Sedge/Rush	G	CAR37G	Carex hirsutella (Hairy Green Sedge)	"26,000"	200	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00	$600.00							Carex hirsutella (Hairy Green Sedge)	Full to Shade	Medium to Medium-Dry	3ft	May June	
Grass/Sedge/Rush	G	CAR10G	Carex hystericina (Porcupine Sedge)	"30,000"	500	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00							$169.00	Carex hystericina (Porcupine Sedge)	Full	Wet to Medium-Wet	3ft	June	
Grass/Sedge/Rush	G	CAR46G	Carex intumescens (Shining Bur Sedge)	"2,300"	25	C(60)	$3.50	$10.00	$15.00	$25.00									Carex intumescens (Shining Bur Sedge)	Full to Shade	Wet to Medium	2ft	June July	
Grass/Sedge/Rush	G	CAR76G	Carex jamesii (James' Sedge)	"5,500"	75	C(60)	$3.50											$189.00	Carex jamesii (James' Sedge)	Partial to Shade	Medium-Wet to Medium-Dry	12in	May June	
Grass/Sedge/Rush	G	CAR12G	Carex lacustris (Common Lake Sedge)	"15,000"	80	C(60)	$3.50											$189.00	Carex lacustris (Common Lake Sedge)	Full to Shade	Wet to Medium-Wet	3ft	May June July	
Grass/Sedge/Rush	G	CAR57G	Carex lasiocarpa (Narrow-leaved Woolly Sedge)	"19,000"	100	C(60)	$3.50	$10.00											Carex lasiocarpa (Narrow-leaved Woolly Sedge)	Partial to Shade	Wet to Medium-Wet	2ft	June July August	
Grass/Sedge/Rush	G	CAR14G	Carex lupulina (Common Hop Sedge)	"4,000"	100	C(60)	$3.50	$4.50	$6.00	$9.75	$15.00	$225.00						$169.00	Carex lupulina (Common Hop Sedge)	Full to Shade	Wet to Medium-Wet	3ft	June July August	
Grass/Sedge/Rush	G	CAR35G	Carex lurida (Sallow Sedge)	"15,000"	200	C(60)	$3.50	$4.50	$6.00	$9.75	$15.00							$169.00	Carex lurida (Sallow Sedge)	Full to Shade	Wet to Medium-Wet	3ft	May June July August	
Grass/Sedge/Rush	G	CAR40G	Carex molesta (Field Oval Sedge)	"25,000"	300	C(60)	$3.50	$4.00	$4.50	$6.50	$10.00	$150.00					$169.00	$159.00	Carex molesta (Field Oval Sedge)	Full to Shade	Medium-Wet to Dry	3ft	June July	
Grass/Sedge/Rush	G	CAR16G	Carex muehlenbergii (Sand Bracted Sedge)	"10,000"	100	C(60)	$3.50	$10.00											Carex muehlenbergii (Sand Bracted Sedge)	Full to Partial	Dry	2ft	May June July	
Grass/Sedge/Rush	G	CAR74G	Carex muskingumensis (Palm Sedge)	"40,000"	75	A	$3.50	$5.00	$8.00	$13.00	$20.00						$169.00	$159.00	Carex muskingumensis (Palm Sedge)	Full to Shade	Medium-Wet to Medium-Dry	3ft	July	
Grass/Sedge/Rush	G	CAR17G	Carex normalis (Spreading Oval Sedge)	"29,000"	400	C(60)	$3.50	$6.25	$10.00	$16.25	$25.00								Carex normalis (Spreading Oval Sedge)	Full to Shade	Medium-Wet to Medium	3ft	June July	
Grass/Sedge/Rush	G	CAR19G	Carex pellita (Broad-leaved Woolly Sedge)	"15,000"	200	C(60)	$3.50	$15.00										$169.00	Carex pellita (Broad-leaved Woolly Sedge)	Full to Partial	Wet to Medium-Wet	3ft	June	
Grass/Sedge/Rush	G	CAR18G	Carex pensylvanica (Pennsylvania Sedge)	"20,000"	30	C(60)							$8.00					$189.00	Carex pensylvanica (Pennsylania Sedge)	Full to Shade	Medium to Dry	8in	April May June	
Grass/Sedge/Rush	G	CAR89G	Carex plantaginea (Plantain-leaved Sedge)	"7,000"	20	C(60)									$179.00				Carex plantaginea (Plantain-leaved Sedge)	Partial to Shade	Medium-Wet to Medium-Dry	12in	April May June	
Grass/Sedge/Rush	G	CAR20G	Carex prairea (Fen Panicled Sedge)	"60,000"	500	C(60)	$3.50	$7.50	$12.00										Carex prairea (Fen Panicled Sedge)	Full	Wet to Medium-Wet	3ft	June July	
Grass/Sedge/Rush	G	CAR54G	Carex pseudocyperus (False Bristly Sedge)	"22,000"	200	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00							Carex pseudocyperus (False Bristly Sedge)	Full	Wet to Medium-Wet	2ft	June July August	
Grass/Sedge/Rush	G	CAR63G	Carex radiata (Eastern Star Sedge)	"41,000"	200	C(60)	$3.50	$17.50	$30.00	$55.00	$100.00		$5.00					$189.00	Carex radiata (Eastern Star Sedge)	Partial to Shade	Medium-Wet to Medium	12in	June	
Grass/Sedge/Rush	G	CAR22G	Carex retrorsa (Deflexed Bottle-brush Sedge)	"13,000"	100	C(60)	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00							Carex retrorsa (Deflexed Bottle-brush Sedge)	Full to Shade	Wet to Medium-Wet	2ft	June July August	
Grass/Sedge/Rush	G	CAR23G	Carex rosea (Curly-styled Wood Sedge)	"26,000"	75	C(60)	$3.50							$21.00				$189.00	Carex rosea (Curly-styled Wood Sedge)	Partial to Shade	Medium-Wet to Dry	12in	June	
Grass/Sedge/Rush	G	CAR71G	Carex sartwellii (Running Marsh Sedge)	"46,000"	200	C(60)	$3.50											$169.00	Carex sartwellii (Running Marsh Sedge)	Full	Wet to Medium-Wet	4ft	April May June	
Grass/Sedge/Rush	G	CAR24G	Carex scoparia (Lance-fruited Oval Sedge)	"84,000"	"1,000"	C(60)	$3.50	$5.00	$8.00	$13.00	$20.00							$159.00	Carex scoparia (Lance-fruited Oval Sedge)	Full	Wet to Medium	2ft	June July	
Grass/Sedge/Rush	G	CAR25G	Carex shortiana (Short's Sedge)	"17,000"	200	C(60)												$159.00	Carex shortiana (Short's Sedge)	Full to Shade	Medium-Wet to Medium	2ft	May June July	
Grass/Sedge/Rush	G	CAR56G	Carex sparganioides (Bur-Reed Sedge)	"24,000"	100	C(60)	$3.50	$11.25	$17.50	$30.00									Carex sparganioides (Bur-Reed Sedge)	Partial to Shade	Medium-Wet to Medium	3ft	May June	
Grass/Sedge/Rush	G	CAR26G	Carex sprengelii (Long-beaked Sedge)	"10,000"	150	C(60)	$3.50	$7.50	$12.00	$19.50	$30.00		$8.00	$21.00				$169.00	Carex sprengelii (Long-beaked Sedge)	Partial to Shade	Medium-Wet to Medium-Dry	2ft	May June July	
Grass/Sedge/Rush	G	CAR61G	Carex squarrosa (Narrow-leaved Cattail Sedge)	"13,000"	500	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00								Carex squarrosa (Narrow-leaved Cattail Sedge)	Full to Shade	Wet to Medium-Wet	2ft	June July August	
Grass/Sedge/Rush	G	CAR27G	Carex sterilis (Fen Star Sedge)	"55,000"	500	C(60)	$3.50	$7.50	$12.00	$19.50	$30.00								Carex sterilis (Fen Star Sedge)	Full	Wet to Medium-Wet	12in	May June July	
Grass/Sedge/Rush	G	CAR28G	Carex stipata (Awl-fruited Sedge)	"34,000"	750	C(60)	$3.50	$5.00	$8.00	$13.00								$159.00	Carex stipata (Awl-fruited Sedge)	Full to Shade	Wet to Medium-Wet	3ft	June	
Grass/Sedge/Rush	G	CAR30G	Carex stricta (Common Tussock Sedge)	"53,000"	150	C(60)	$3.50	$10.00	$15.00	$25.00								$169.00	Carex stricta (Common Tussock Sedge)	Full to Partial	Wet to Medium-Wet	3ft	June July	
Grass/Sedge/Rush	G	CAR59G	Carex tenera (Narrow-leaved Oval Sedge)	"45,000"	150	C(60)	$3.50	$10.00	$15.00	$25.00									Carex tenera (Narrow-leaved Oval Sedge)	Full to Shade	Wet to Medium	3ft	June July	
Grass/Sedge/Rush	G	CAR44G	Carex tribuloides (Awl-fruited Oval Sedge)	"120,000"	"1,000"	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00							Carex tribuloides (Awl-fruited Oval Sedge)	Full to Partial	Wet to Medium	3ft	July	
Grass/Sedge/Rush	G	CAR48G	Carex trichocarpa (Hairy-fruited Lake Sedge)	"18,000"	150	C(60)	$3.50	$6.25	$10.00	$16.25	$25.00							$189.00	Carex trichocarpa (Hairy-fruited Lake Sedge)	Full	Wet to Medium-Wet	4ft	June July	
Grass/Sedge/Rush	G	CAR60G	Carex typhina (Common Cattail Sedge)	"17,000"	150	C(60)	$3.50												Carex typhina (Common Cattail Sedge)	Partial to Shade	Wet to Medium-Wet	12in	June July August	
Grass/Sedge/Rush	G	CAR41G	Carex utriculata (Common Yellow Lake Sedge)	"10,000"	250	C(60)	$3.50	$6.25	$10.00	$16.25	$25.00							$189.00	Carex utriculata (Common Yellow Lake Sedge)	Full	Wet to Medium-Wet	3ft	June July	
Grass/Sedge/Rush	G	CAR34G	Carex vulpinoidea (Brown Fox Sedge)	"80,000"	500	"C(60),D"	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00		$21.00			$169.00	$159.00	Carex vulpinoidea (Brown Fox Sedge)	Full to Partial	Wet to Medium-Dry	3ft	June July	
Grass/Sedge/Rush	G	CAR95G	Carex woodii (Wood's Sedge)															$189.00	Carex woodii (Wood's Sedge)	Partial to Shade	Medium-Wet to Medium- Dry	12in	April May	Green
Forb	F	CAS52F	Castilleja coccinea (Indian Paintbrush)	"300,000"	300	"C(60),D,K"	$3.50												Castilleja coccinea (Indian Paintbrush)	Full to Partial	Medium-Wet to Medium-Dry	2ft	May June	Red
Forb	F	CAS54F	Castilleja sessiliflora (Downy Painted Cup)	"130,000"	500	"C(60),D,K"	$3.50												Castilleja sessiliflora (Downy Painted Cup)	Full	Medium-Dry to Dry	12in	May June	Cream
Forb	F	CAU06F	Caulophyllum thalictroides (Blue Cohosh)	140	5	M	$3.50	$7.50											Caulophyllum thalictroides (Blue Cohosh)	Partial to Shade	Medium-Wet to Medium	2ft	April May	Green
Tree/Shrub/Woody Vine	T	CEA02T	Ceanothus americanus (New Jersey Tea)	"7,600"	75	"B,C(60)"	$3.50	$11.25	$17.50					$24.00			$169.00	$189.00	Ceanothus americanus (New Jersey Tea)	Full to Partial	Medium to Dry	3ft	June July August	White
Tree/Shrub/Woody Vine	T	CEA04T	Ceanothus ovatus (Red Root)	"8,000"	100	"B,C(60)"	$3.50	$11.25	$17.50										Ceaothus ovatus (Red Root)	Full to Partial	Medium-Dry to Dry	3ft	June	White
Tree/Shrub/Woody Vine	T	CEL02T	Celastrus scandens (Bittersweet)	"1,800"	30	"C(120),L"	$3.50	$7.50	$12.00	$19.50	$30.00								Celastrus scandens (Bittersweet)	Full to Partial	Medium to Dry	up to 25ft	May June	White
Tree/Shrub/Woody Vine	T	CEP02T	Cephalanthus occidentalis (Buttonbush)	"6,500"	150	A	$3.50		$4.00	$5.00	$6.00	$90.00	$20; 3 yr old						Cephalanthus occidentalis (Buttonbush)	Full to Partial	Wet to Medium-Wet	up to 12ft	June July August	White
Forb	F	CAS02F	Chamaecrista fasciculata (Partridge Pea)	"2,500"	250	"C(10),H,I"	$3.50				$4.00								Chamaecrista fasciculata (Partridge Pea)	Full to Partial	Medium to Dry	2ft	July August September	Yellow
Forb	F	EPI02F	Chamaenerion angustifolium (Fireweed)	"800,000"	500	"C(60),D"	$3.50	$23.75					$9.00						Chamaenerion angustifolium (Fireweed)	Full to Partial	Medium-Wet to Medium-Dry	4ft	July August	Pink
Grass/Sedge/Rush	G	UNI08G	Chasmanthium latifolium (River Oats)	"4,600"	75	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00						$169.00	$169.00	Chasmanthium latifolium (River Oats)	Partial	Medium-Wet to Medium	3ft	July August September	
Forb	F	CHE02F	Chelone glabra (Turtlehead)	"75,000"	300	"C(90),M"	$3.50	$11.25	$17.50	$30.00	$50.00	$750.00	$10.00					$189.00	Chelone glabra (Turtlehead)	Full	Wet to Medium-Wet	5ft	July August September	Cream
Forb	F	CHE01F	Chelone obliqua (Pink Turtlehead)	"18,000"	300	C(90)	$3.50	$12.50	$20.00	$35.00	$60.00								Chelone obliqua (Pink Turtlehead)	Full to Partial	Wet to Medium	3ft	July August September	Pink
Forb	F	CIC02F	Cicuta maculata (Water Hemlock)	"9,000"	200	"C(120),M"	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00							Cicuta maculata (Water Hemlock)	Full to Partial	Wet to Medium-Wet	6ft	June July August September	White
Forb	F	CIM02F	Cimicifuga racemosa (Black Cohosh)	"9,000"	75	"E,L"	$3.50						$10.00		$179.00				Cimicifuga racemosa (Black Cohosh)	Partial to Shade	Medium-Wet to Medium	7ft	May June July August September	White
Grass/Sedge/Rush	G	CIN08G	Cinna arundinacea (Wood Reed Grass)	"68,000"	100	C(60)	$3.50	$7.50	$12.00									$169.00	Cinna arundinacea (Wood Reed Grass)	Partial to Shade	Wet to Medium	3ft	August September	
Forb	F	CIR02F	Cirsium discolor (Pasture Thistle)	"5,000"	50	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00	$600.00							Cirsium discolor (Pasture Thistle)	Full to Partial	Medium to Medium-Dry	6ft	August September October	Purple
Forb	F	CIR11F	Cirsium muticum (Swamp Thistle)	"8,000"	50	C(30)	$3.50	$10.00	$15.00	$25.00	$40.00								Cirsium muticum (Swamp Thistle)	Full to Partial	Wet to Medium-Wet	7ft	July August September October	Purple
Forb	F	CLA02F	Claytonia virginica (Spring Beauty)	"20,000"	75	"E,L"	$3.50								$179.00				Claytonia virginica (Spring Beauty)	Shade	Wet to Medium	5in	April May June	Pink
Tree/Shrub/Woody Vine	T	CLE03T	Clematis occidentalis var. occidentalis (Purple Clematis)	"6,800"	10	C(90)	$3.50						$12.00						Clematis occidentalis var. occidentalis (Purple Clematis)	Full to Partial	Medium to Medium-Dry	6ft	May June July	Purple
Tree/Shrub/Woody Vine	T	CLE02T	Clematis virginiana (Virgin's Bower)	"20,000"	200	"C(30),M"	$3.50	$7.80	$12.00	$19.50	$30.00			$21.00		$119.00			Clematis virginiana (Virgin's Bower)	Full to Partial	Medium-Wet to Medium	up to 9ft	July August September	White
Forb	F	CLE02F	Cleome serrulata (Rocky Mountain Bee Plant)	"4,000"	150	"C(30),?"	$3.50	$4.00	$4.50	$5.20									Cleome serrulata (Rocky Mountain Bee Plant)	Full	Medium to Medium-Dry	4ft	July August	Pink
Forb	F	CLI02F	Clintonia borealis (Blue Bead Lily)			"L,F"							$12.00						Clintonia borealis (Blue Bead Lily)	Partial to Shade	Wet to Medium	12in	May June	Yellow
Forb	F	COM10F	Comandra umbellata (Bastard Toadflax)	750	5	"K,?"	$3.50	$15.00	$25.00	$45.00	$80.00								Comandra umbellata (Bastard Toadflax)	Full to Partial	Medium to Dry	9in	May June July	Green
Forb	F	EUP03F	Conoclinium coelestinum (Mistflower)	"325,000"	500	"C(60),D"	$3.50							$21.00			$169.00		Conoclinium coelestinum (Mistflower)	Partial	Medium-Wet to Medium-Dry	2ft	September October	Blue
Forb	F	COR02F	Coreopsis lanceolata (Lance-leaf Coreopsis)	"14,000"	250	C(30)	$3.50				$4.00	$45.00	$7.00	$21.00			$169.00	$159.00	Coreopsis lanceolata (Lance-leaf Coreopsis)	Full	Medium-Dry to Dry	2ft	May June July August	Yellow
Forb	F	COR04F	Coreopsis palmata (Prairie Coreopsis)	"8,000"	200	"C(60),M"	$3.50	$11.25					$7.00	$21.00			$169.00	$159.00	Coreopsis palmata (Prairie Coreopsis)	Full to Partial	Medium to Dry	2ft	June July August	Yellow
Forb	F	COR06F	Coreopsis tripteris (Tall Coreopsis)	"12,000"	200	C(60)	$3.50	$7.50	$12.00	$19.50	$30.00		$7.00				$169.00	$159.00	Coreopsis tripteris (Tall Coreopsis)	Full to Partial	Medium-Wet to Medium-Dry	7ft	July August September October	Yellow
Tree/Shrub/Woody Vine	T	COR52T	Cornus alternifolia (Pagoda Dogwood)	450	10	M	$3.50	$13.75	$22.50	$40.00	$70.00		$11.00						Cornus alternifolia (Pagoda Dogwood)	Partial to Shade	Medium-Wet to Medium-Dry	up to 25ft	May June July	White
Tree/Shrub/Woody Vine	T	COR54T	Cornus amomum subsp. obliqua (Silky Dogwood)	400	10	M	$3.50						$11.00						Cornus amomum subsp. obliqua (Silky Dogwood)	Full to Partial	Wet to Medium	up to 10ft	June July	White
Tree/Shrub/Woody Vine	T	COR58T	Cornus rugosa (Round-leaved Dogwood)	"1,000"	10	M							$11.00						Cornus rugosa (Round-leaved Dogwood)	Partial to Shade	Medium to Medium-Dry	up to 10ft	June July	White
Tree/Shrub/Woody Vine	T	COR60T	Cornus stolonifera (Red Osier Dogwood)	950	10	M	$3.50						$11.00						Cornus stolonifera (Red Osier Dogwood)	Full to Partial	Wet to Medium	up to 10ft	June July August September	White
Forb	F	COR01F	Corydalis sempervirens (Pale Corydalis)	"55,000"	50	C(30)	$3.50	$15.00	$25.00	$45.00	$80.00								Corydalis sempervirens (Pale Corydalis)	Full to Partial	Medium-Dry to Dry	3ft	May June July August September	Pink
Tree/Shrub/Woody Vine	T	COR04T	Corylus americana (American Hazelnut)			M							$12.00						Corylus americana (American Hazelnut)	Full to Partial	Medium-Wet to Medium- Dry	up to 8ft	April	
Forb	F	CRO02F	Crotalaria sagittalis (Rattlebox)	"3,600"	200	"A,I"	$3.50				$4.00	$60.00							Crotalaria sagittalis (Rattlebox)	Full	Medium-Dry to Dry	12in	July August September	Yellow
Forb	F	CRY02F	Cryptotaenia canadensis (Honewort)	"9,000"	150	C(60)	$3.50	$4.00	$4.50				$5.00						Cryptotaenia canadensis (Honewort)	Shade	Medium-Wet to Medium-Dry	2ft	June July August September	White
Grass/Sedge/Rush	G	CYP03G	Cyperus houghtonii (Houghton's Flat Sedge)	"35,000"	150	C(60)	$3.50												Cyperus houghtonii (Houghton's Flat Sedge)	Full to Partial	Medium-Dry to Dry	2ft	July August September	
Grass/Sedge/Rush	G	CYP02G	Cyperus schweinitzii (Rough Sand Sedge)	"23,000"	200	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00								Cyperus schweinitzii (Rough Sand Sedge)	Full to Partial	Dry	12in	May June	
Forb	F	PET02F	Dalea candida (White Prairie Clover)	"22,000"	750	"A,I,J"	$3.50				$4.00	$25.00						$189.00	Dalea candida (White Prairie Clover)	Full to Partial	Medium to Dry	2ft	June July August September	White
Forb	F	PET04F	Dalea foliosa (Leafy Prairie Clover)	"18,000"	150	"A,I,J"	$3.50	$7.50	$12.00	$19.50			$8.00	$21.00					Dalea foliosa (Leafy Prairie Clover)	Full to Partial	Medium to Dry	2ft	July August September	Purple
Forb	F	PET03F	Dalea leporina (Foxtail Prairie Clover)	"9,500"	100	"A,I"	$3.50		$4.00	$5.00	$6.00	$90.00							Dalea leporina (Foxtail Prairie Clover)	Full to Partial	Medium-Wet to Dry	2ft	July August September	White
Forb	F	PET06F	Dalea purpurea (Purple Prairie Clover)	"17,000"	750	"A,I,J"	$3.50				$4.00	$18.00		$21.00			$169.00	$189.00	Dalea purpurea (Purple Prairie Clover)	Full to Partial	Medium to Dry	2ft	July August September	Purple
Forb	F	PET08F	Dalea villosa (Silky Prairie Clover)	"14,000"	150	"A,I,J"	$3.50	$7.50	$12.00										Dalea villosa (Silky Prairie Clover)	Full to Partial	Dry	2ft	July August	Purple
Grass/Sedge/Rush	G	DAN02G	Danthonia spicata (Poverty Oat Grass)	"25,000"	400	A	$3.50	$10.00	$15.00										Danthonia spicata (Poverty Oat Grass)	Full to Partial	Medium-Dry to Dry	12in	May June July	
Forb	F	DAS01F	Dasistoma macrophylla (Mullein-foxglove)	"38,000"	200	C(60)	$3.50												Dasistoma macrophylla (Mullein-foxglove)	Partial to Shade	Medium	7ft	June July August September	Yellow
Forb	F	DEL03F	Delphinium carolinianum (Wild Blue Larkspur)	"41,000"	100	C(60)	$3.50												Delphinium carolinianum (Wild Blue Larkspur)	Full to Partial	Medium to Medium-Dry	4ft	July August	Purple
Forb	F	DEL01F	Delphinium exaltatum (Tall Larkspur)	"12,000"	100	C(60)	$3.50	$7.50	$12.00	$19.50			$10.00					$189.00	Delphinium exaltatum (Tall Larkspur)	Full	Medium to Medium-Dry	4ft	July August	Purple
Forb	F	DEL04F	Delphinium tricorne (Dwarf Larkspur)	"18,000"	75	C(90)	$3.50												Delphinium tricorne (Dwarf Larkspur)	Full to Shade	Medium-Wet to Medium	12in	April May June	Blue
Forb	F	DEL02F	Delphinium virenscens (Prairie Larkspur)	"36,000"	80	C(60)	$3.50												Delphinium virescens (Prairie Larkspur)	Full	Medium-Dry to Dry	4ft	June July	White
Grass/Sedge/Rush	G	DES02G	Deschampsia cespitosa (Tufted Hairgrass)	"136,500"	"1,000"													$159.00	Deschampsia cespitosa (Tufted Hairgrass)	Full to Partial	Medium-Wet to Medium	2ft	June	
Forb	F	DES02F	Desmanthus illinoensis (Illinois Bundle Flower)	"4,200"	250	"A,H,I"	$3.50				$4.00	$20.00							Desmanthus illinoensis (Illinois Bundle Flower)	Full	Medium to Dry	5ft	July August	Yellow
Forb	F	DES52F	Desmodium canadense (Showy Tick Trefoil)	"5,500"	250	"A,I,J"	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00						$159.00	Desmodium canadense (Showy Tick Trefoil)	Full to Partial	Medium-Wet to Medium-Dry	5ft	July August	Purple
Forb	F	DES54F	Desmodium glutinosum (Pointed-leaved Tick Trefoil)	"1,100"	15	"C(10),I"	$3.50	$10.00											Desmodium glutinosum (Pointed-leaved Tick Trefoil)	Partial to Shade	Medium to Medium-Dry	2ft	June July August	Pink
Forb	F	DES56F	Desmodium illinoense (Illinois Tick Trefoil)	"3,500"	150	"A,I,J"	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00							Desmodium illinoense (Illinois Tick Trefoil)	Full to Partial	Medium-Dry to Dry	6ft	July August	Purple
Forb	F	DES57F	Desmodium paniculatum (Panicled Tick Trefoil)	"6,500"	40	"A,I,J"	$3.50												Desmodium paniculatum (Panicled Tick Trefoil)	Partial to Shade	Medium-Wet to Dry	3ft	July August September	Pink
Grass/Sedge/Rush	G	DIA01G	Diarrhena americana (American Beak Grass)	"3,600"	100	"C(60),G"	$3.50	$4.50	$6.00	$9.75	$15.00							$169.00	Diarrhena americana (American Beak Grass)	Partial to Shade	Medium-Wet to Medium-Dry	3ft	July August September	
Grass/Sedge/Rush	G	DIA02G	Diarrhena obovata (Beak Grass)	"3,500"	100	"C(60),G"	$3.50	$4.50	$6.00	$9.75	$15.00								Diarrhena obovata (Beak Grass)	Partial to Shade	Medium-Wet to Medium-Dry	2ft	July August September	
Forb	F	DIC02F	Dicentra cucullaria (Dutchman's Breeches)	"17,500"	60	"L,E"	$3.50												Dicentra cucullaria (Dutchman's Breeches)	Shade	Medium-Wet to Medium	12in	April May	White
